uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release
77290fba-b395-4239-8a18-68eb0460cb8f,2017-03-30,BART_040.basePlot.ltr,D01,BART,BART_040,tower,2016-09-20T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART040.20161010.LVS,NEON.LTR.BART040.20161010.LVS.CN,NA,vegetation,N,-2.5,-28.5,0.6,49.6,89.8,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
87bde21c-2805-415a-8907-92e5aed82f60,2017-03-30,BART_047.basePlot.ltr,D01,BART,BART_047,tower,2016-09-20T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART047.20161010.NDL,NEON.LTR.BART047.20161010.NDL.CN,NA,vegetation,N,-1.6,-30.5,0.5,51.2,109.8,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
d85552a1-598a-4d90-bb81-d1fb3feeae95,2017-03-30,BART_051.basePlot.ltr,D01,BART,BART_051,tower,2016-09-20T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART051.20161010.LVS,NEON.LTR.BART051.20161010.LVS.CN,NA,vegetation,N,-2.9,-28.1,0.5,49.3,99.6,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
1197184d-a9ae-4e0b-9555-f0373aedb9bf,2017-03-30,BART_036.basePlot.ltr,D01,BART,BART_036,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART036.20161011.NDL,NEON.LTR.BART036.20161011.NDL.CN,NA,vegetation,N,-2.5,-30.1,0.6,51.3,85.5,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
685e21c8-c863-4174-be2e-fe4776f3ec88,2017-03-30,BART_072.basePlot.ltr,D01,BART,BART_072,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART072.20161011.LVS,NEON.LTR.BART072.20161011.LVS.CN,NA,vegetation,N,-3,-27.9,0.6,50.7,83.5,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
e1088d8e-1ce1-4e12-9d39-a8a26f64a4b8,2017-03-30,BART_042.basePlot.ltr,D01,BART,BART_042,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART042.20161011.NDL,NEON.LTR.BART042.20161011.NDL.CN,NA,vegetation,N,-0.9,-30.5,0.5,51.7,95.4,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
2b8abcc6-6169-445e-9048-0729810b76aa,2017-03-30,BART_037.basePlot.ltr,D01,BART,BART_037,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART037.20161011.LVS,NEON.LTR.BART037.20161011.LVS.CN,NA,vegetation,N,-3.6,-28.6,0.6,49.2,88.5,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
e6528605-f84d-4735-81c4-ca4e92ada4d7,2017-03-30,BART_036.basePlot.ltr,D01,BART,BART_036,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART036.20161011.LVS,NEON.LTR.BART036.20161011.LVS.CN,NA,vegetation,N,-3.7,-28.5,0.5,50.5,105.1,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
365ddde0-5bcf-4e1a-886c-e00ae78698c8,2017-03-31,BART_075.basePlot.ltr,D01,BART,BART_075,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART075.20161011.NDL,NEON.LTR.BART075.20161011.NDL.CN,NA,vegetation,N,-2.9,-29.5,0.5,52,113.6,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
e3632eab-8de5-4baf-a62f-8d1c98fef825,2017-03-31,BART_075.basePlot.ltr,D01,BART,BART_075,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART075.20161011.LVS,NEON.LTR.BART075.20161011.LVS.CN,NA,vegetation,N,-3,-28.1,0.7,49.9,72.5,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
